Description,Location,Price (PHP),Bedrooms,Floor_area (sqm),Land_area (sqm),Link
"3-Bedroom Townhouse for Sale at Lancaster New City in Imus, Cavite -THEA Model","Alapan II-A, Imus","2,395,000",3,60,50,https://www.lamudi.com.ph/3-bedroom-townhouse-for-sale-at-lancaster-new-city-in-imus-cavite-thea-model.html
"3-Bedroom Townhouse for Sale at Lancaster New City in Kawit, Cavite -ALICE Model","San Sebastian, Kawit","1,880,600",3,40,40,https://www.lamudi.com.ph/3-bedroom-townhouse-for-sale-at-lancaster-new-city-in-kawit-cavite-alice-model.html
"ARIA RFO Townhouse for Sale in Idesia Dasmarinas Ph1, Special Discount 269K -Blk10 Lo...","San Agustin I, Dasmarinas","2,239,999",2,42,60,https://www.lamudi.com.ph/aria-rfo-townhouse-for-sale-in-idesia-dasmarinas-ph1-special-discount-269k-blk10-lot17.html
RFO 2 Bedroom And 2 Toilet & Bath In Maia Alta Antipolo City,"Dalig, Antipolo","5,277,900",2,48,88,https://www.lamudi.com.ph/rfo-2-bedroom-and-2-toilet-bath-in-maia-alta-antipolo-city.html
"L-S-1-201604-49- Acquired Property for Sale in Phase TAM, Block 11, Lot 34, Plantacio...","Cumba, Lipa","4,314,064",no info,98,148,https://www.lamudi.com.ph/l-s-1-201604-49-acquired-property-for-sale-in-phase-tam-block-11-lot-34-plantacion-meridienne-brgy-cumba-lipa-city-batangas-sub.html
"House and Lot with 4 bedroom for Sale in Verona, Lumil, Silang- Caterina","Lumil, Silang","8,466,000",4,136,176,https://www.lamudi.com.ph/house-and-lot-with-4-bedroom-for-sale-in-verona-lumil-silang-caterina.html
New Townhouse for Sale in Tandang Sora near Katipunan Quezon City,"Tandang Sora, Quezon City","11,500,000",5,185,78,https://www.lamudi.com.ph/new-townhouse-for-sale-in-tandang-sora-near-katipunan-quezon-city.html
"Bungalow House (Molave Model) for Sale in Ameria, Panabo, Davao del Norte","New Pandan, Panabo","10,000,000",3,138,337,https://www.lamudi.com.ph/bungalow-house-molave-model-for-sale-in-ameria-panabo-davao-del-norte.html
5-Bedroom Single Detached House and Lot for Sale in Ajoya Pampanga (Mexico) - with Sp...,"Eden, Mexico","5,000,000",5,107,141,https://www.lamudi.com.ph/5-bedroom-single-detached-house-and-lot-for-sale-in-ajoya-pampanga-mexico-with-special-offer.html
"3 Storey Townhouse For Sale in Tandang Sora near Katipunan,Quezon City","Tandang Sora, Quezon City","11,500,000",5,185,78,https://www.lamudi.com.ph/3-storey-townhouse-for-sale-in-tandang-sora-near-katipunan-quezon-city-84.html
Beverly Hills Subdivision 5BR Fully Furnished House for Sale inAntipolo-DS881827,"Mambugan, Antipolo","25,000,000",5,260,619,https://www.lamudi.com.ph/beverly-hills-subdivision-5br-fully-furnished-house-for-sale-inantipolo-ds881827.html
5BR Townhouse For Sale in Tandang Sora 3mins Commonwealth Quezon City,"Tandang Sora, Quezon City","11,500,000",5,185,78,https://www.lamudi.com.ph/5br-townhouse-for-sale-in-tandang-sora-3mins-commonwealth-quezon-city.html
House and Lot Warehouse for Sale in Pasay,"San Roque, Pasay","28,000,000",10,500,724,https://www.lamudi.com.ph/house-and-lot-warehouse-for-sale-in-pasay-1.html
Modern House and Lot for Sale in San Juan City Near Greenhills,"Greenhills, San Juan","72,000,000",6,637,534,https://www.lamudi.com.ph/modern-house-and-lot-for-sale-in-san-juan-city-near-greenhills.html
2 Bedrooms House and Lot at Camella Lessandra Calamba (Criselle Model),"Palo-Alto, Calamba","2,867,000",2,40,60,https://www.lamudi.com.ph/2-bedrooms-house-and-lot-at-camella-lessandra-calamba-criselle-model.html
"Amber 2BR Townhouse End Unit - Modern Minimalist for Sale in Futura Homes Koronadal, ...","Concepcion, Koronadal","1,472,617",2,50,57,https://www.lamudi.com.ph/amber-2br-townhouse-end-unit-modern-minimalist-for-sale-in-futura-homes-koronadal-south-cotabato.html
San Juan Fascinating 6 Bedroom Modern Spacious House and Lot For Sale-DE882269,"Tibagan, San Juan","72,000,000",6,637,534,https://www.lamudi.com.ph/san-juan-fascinating-6-bedroom-modern-spacious-house-and-lot-for-sale-de882269.html
"3-Bedroom House for Sale in Ameria, Panabo, Davao del Norte - Caballero Model","New Pandan, Panabo","10,399,874",3,122,388,https://www.lamudi.com.ph/3-bedroom-house-for-sale-in-ameria-panabo-davao-del-norte-caballero-model.html
The Gentri Heights: Kirana 2-Storey House for Sale in General Trias Cavite,"Manggahan, General Trias","4,730,620",3,82,98,https://www.lamudi.com.ph/the-gentri-heights-kirana-2-storey-house-for-sale-in-general-trias-cavite.html
"Kiara Quadruplex Townhouse for Sale in Sentosa, Calamba Laguna","Punta, Calamba","2,406,200",3,79,60,https://www.lamudi.com.ph/kiara-quadruplex-townhouse-for-sale-in-sentosa-calamba-laguna.html
"3-Bedroom Townhouse for Sale at Lancaster New City in General Trias, Cavite -THEA Mod...","Pasong Camachile I, General Trias","2,395,000",3,60,50,https://www.lamudi.com.ph/3-bedroom-townhouse-for-sale-at-lancaster-new-city-in-general-trias-cavite-thea-model.html
"3-Bedroom Townhouse for Sale at Lancaster New City in Kawit, Cavite -THEA Model","San Sebastian, Kawit","2,395,000",3,60,50,https://www.lamudi.com.ph/3-bedroom-townhouse-for-sale-at-lancaster-new-city-in-kawit-cavite-thea-model.html
San Juan Fascinating 6 Bedroom Modern Spacious House and Lot For Sale-DE882269,"Tibagan, San Juan","72,000,000",6,637,534,https://www.lamudi.com.ph/san-juan-fascinating-6-bedroom-modern-spacious-house-and-lot-for-sale-de882269.html
"3-Bedroom House for Sale in Ameria, Panabo, Davao del Norte - Caballero Model","New Pandan, Panabo","10,399,874",3,122,388,https://www.lamudi.com.ph/3-bedroom-house-for-sale-in-ameria-panabo-davao-del-norte-caballero-model.html
Townhouse For Sale at a Private Subdivision in Mandaue Cebu,"Tabok, Mandaue","4,500,000",2,140,97,https://www.lamudi.com.ph/townhouse-for-sale-at-a-private-subdivision-in-mandaue-cebu.html
San Juan City 6 Bedroom Gorgeous Modern Minimalist House for Sale!,"Greenhills, San Juan","72,000,000",6,637,534,https://www.lamudi.com.ph/san-juan-city-6-bedroom-gorgeous-modern-minimalist-house-for-sale.html
2 Bedrooms House and Lot at Camella Lessandra Calamba (Frielle Model),"Palo-Alto, Calamba","3,388,000",2,50,65,https://www.lamudi.com.ph/2-bedrooms-house-and-lot-at-camella-lessandra-calamba-frielle-model.html
4-Bedroom Single Attached House and Lot for Sale in Ajoya Pampanga (Mexico) - with Sp...,"Eden, Mexico","4,200,000",4,91,106,https://www.lamudi.com.ph/4-bedroom-single-attached-house-and-lot-for-sale-in-ajoya-pampanga-mexico-with-special-offer.html
"TULIP - American New England 3BR House and Lot for Sale in Ashton Fields, Ciudad de C...","Milagrosa (Tulo), Calamba","4,598,176",3,84,110,https://www.lamudi.com.ph/tulip-american-new-england-3br-house-and-lot-for-sale-in-ashton-fields-ciudad-de-calamba-laguna.html
"Caroline 1BR House and Lot for Sale in Valle Dulce at Pueblo Solana, Ciudad de Calamb...","Bubuyan, Calamba","1,510,000",1,55,119,https://www.lamudi.com.ph/caroline-1br-house-and-lot-for-sale-in-valle-dulce-at-pueblo-solana-ciudad-de-calamba-laguna.html
"WALNUT Modern Minimalist House for Sale in Verna at San Rafael Estates, Bulacan","San Roque, San Rafael","2,991,677",3,50,120,https://www.lamudi.com.ph/walnut-modern-minimalist-house-for-sale-in-verna-at-san-rafael-estates-bulacan.html
ARIA Townhouse (Inner) for Sale in Idesia Dasmarinas Phase 2,"San Agustin I, Dasmarinas","2,800,000",2,42,60,https://www.lamudi.com.ph/aria-townhouse-inner-for-sale-in-idesia-dasmarinas-phase-2.html
GAIA 2-Storey Single Detached (Irregular) for Sale in Idesia Dasmarinas Phase 2,"San Agustin I, Dasmarinas","5,800,000",3,63,143,https://www.lamudi.com.ph/gaia-2-storey-single-detached-irregular-for-sale-in-idesia-dasmarinas-phase-2.html
TALIA 2-Storey Single Attached (Regular) for Sale in Idesia Dasmarinas Phase 2,"San Agustin I, Dasmarinas","4,000,000",2,52,80,https://www.lamudi.com.ph/talia-2-storey-single-attached-regular-for-sale-in-idesia-dasmarinas-phase-2.html
"3-Bedroom House (Caballero Model) for Sale in Ameria, Panabo, Davao del Norte","New Pandan, Panabo","9,311,032",3,122,294,https://www.lamudi.com.ph/3-bedroom-house-caballero-model-for-sale-in-ameria-panabo-davao-del-norte.html
"3-Bedroom House and Lot for Sale at Lancaster New City in Imus, Cavite -CHESSA Model","Alapan II-A, Imus","5,978,000",3,90,100,https://www.lamudi.com.ph/3-bedroom-house-and-lot-for-sale-at-lancaster-new-city-in-imus-cavite-chessa-model.html
"3-Bedroom House and Lot for Sale at Lancaster New City in Imus, Cavite -MARGARET Mode...","Alapan II-A, Imus","5,690,000",3,72,100,https://www.lamudi.com.ph/3-bedroom-house-and-lot-for-sale-at-lancaster-new-city-in-imus-cavite-margaret-model.html
5BR Townhouse for sale near Katipunan Commonwealth Congressional Quezon City,"Tandang Sora, Quezon City","11,500,000",5,185,78,https://www.lamudi.com.ph/5br-townhouse-for-sale-near-katipunan-commonwealth-congressional-quezon-city.html
"3-Bedroom House and Lot for Sale in The Arcadia | Boundary of Angeles and Porac, Pamp...","Manibaug Paralaya, Porac","2,820,800",3,78,63,https://www.lamudi.com.ph/3-bedroom-house-and-lot-for-sale-in-the-arcadia-boundary-of-angeles-and-porac-pampanga-anais-bare-inner-unit.html
"Amaya Two Storey SD for Sale in Sentosa, Calamba Laguna","Punta, Calamba","7,032,800",4,149,176,https://www.lamudi.com.ph/amaya-two-storey-sd-for-sale-in-sentosa-calamba-laguna.html
"House and Lot under CCT Condo Title in Brentville Binan, Laguna in Mampalasan","Mampalasan, Binan","30,534,800",3,214,209,https://www.lamudi.com.ph/house-and-lot-under-cct-condo-title-in-brentville-binan-laguna-in-mampalasan.html
2 Bedrooms House and Lot at Camella Sierra Metro East (Bella Model),"Dulumbayan, Teresa","5,336,000",2,53,90,https://www.lamudi.com.ph/2-bedrooms-house-and-lot-at-camella-sierra-metro-east-bella-model.html
For Sale 4 BR Townhouse in Quezon City nr Visayas Ave & Tandang Sora,"Culiat, Quezon City","17,695,000",4,229,77,https://www.lamudi.com.ph/for-sale-4-br-townhouse-in-quezon-city-nr-visayas-ave-tandang-sora.html
3-Storey 4BR House and Lot for Sale in The Villas at Dasmarinas Highlands,"San Agustin I, Dasmarinas","8,473,000",4,155,66,https://www.lamudi.com.ph/3-storey-4br-house-and-lot-for-sale-in-the-villas-at-dasmarinas-highlands.html
"Danessa 1BR House and Lot for Sale in Asenso Village, Ciudad de Calamba, Laguna","Bubuyan, Calamba","3,594,620",1,37,238,https://www.lamudi.com.ph/danessa-1br-house-and-lot-for-sale-in-asenso-village-ciudad-de-calamba-laguna.html
"4-Bedroom House and Lot for Sale at Lancaster New City in Kawit, Cavite -BRIANA Model","San Sebastian, Kawit","6,756,360",4,110,100,https://www.lamudi.com.ph/4-bedroom-house-and-lot-for-sale-at-lancaster-new-city-in-kawit-cavite-briana-model.html
"3-Bedroom Townhouse for Sale at Lancaster New City in Kawit, Cavite -ANICA Model","San Sebastian, Kawit","2,389,000",3,50,50,https://www.lamudi.com.ph/3-bedroom-townhouse-for-sale-at-lancaster-new-city-in-kawit-cavite-anica-model.html
"Aeon Duplex Bungalow SD for Sale in Sentosa, Calamba Laguna","Punta, Calamba","3,124,880",2,71,120,https://www.lamudi.com.ph/aeon-duplex-bungalow-sd-for-sale-in-sentosa-calamba-laguna.html
"Azumi  Quadruplex Townhouse for Sale in Sentosa, Calamba Laguna","Punta, Calamba","2,459,200",3,80,60,https://www.lamudi.com.ph/azumi-quadruplex-townhouse-for-sale-in-sentosa-calamba-laguna.html
4-Bedroom Single Detached House and Lot for Sale in The Arcadia | Boundary of Angeles...,"Manibaug Paralaya, Porac","8,982,815",4,176,168,https://www.lamudi.com.ph/4-bedroom-single-detached-house-and-lot-for-sale-in-the-arcadia-boundary-of-angeles-and-porac-pampanga-athens-model.html
"3-Bedroom Townhouse for Sale at Lancaster New City in Kawit, Cavite -ANICA Model","San Sebastian, Kawit","2,389,000",3,50,50,https://www.lamudi.com.ph/3-bedroom-townhouse-for-sale-at-lancaster-new-city-in-kawit-cavite-anica-model.html
Corner Massive Brand New 5 Bedroom House And Lot For Sale In BF Homes Paranaque,"B.F. Homes, Paranaque","30,000,000",6,375,280,https://www.lamudi.com.ph/corner-massive-brand-new-5-bedroom-house-and-lot-for-sale-in-bf-homes-paranaque-4.html
"Rush Sale Brand New Single Detached House and Lot in Guadalupe, Cebu City","Guadalupe, Cebu","12,400,000",4,120,119,https://www.lamudi.com.ph/rush-sale-brand-new-single-detached-house-and-lot-in-guadalupe-cebu-city.html
"3-Bedroom House and Lot for Sale at Lancaster New City in Imus, Cavite -GABRIELLE Mod...","Alapan II-A, Imus","6,650,000",3,84,120,https://www.lamudi.com.ph/3-bedroom-house-and-lot-for-sale-at-lancaster-new-city-in-imus-cavite-gabrielle-model.html
"Townhouse Mid Unit for Sale in Ajoya Capas, Tarlac - with Special Offer","Talaga, Capas","2,000,000",no info,49,50,https://www.lamudi.com.ph/townhouse-mid-unit-for-sale-in-ajoya-capas-tarlac-with-special-offer.html
"3-Bedroom Single Detached House and Lot for Sale in Ajoya Cabanatuan, Nueva Ecija - w...","Valle Cruz, Cabanatuan","4,600,000",3,81,110,https://www.lamudi.com.ph/3-bedroom-single-detached-house-and-lot-for-sale-in-ajoya-cabanatuan-nueva-ecija-with-special-offer.html
Shophouse for Sale in Ajoya Pampanga (Mexico) - with Special Offer,"Eden, Mexico","5,000,000",no info,108,60,https://www.lamudi.com.ph/shophouse-for-sale-in-ajoya-pampanga-mexico-with-special-offer.html
TALIA 2-Storey Single Attached (Regular) for Sale in Idesia Dasmarinas Phase 1,"San Agustin I, Dasmarinas","4,100,000",2,52,80,https://www.lamudi.com.ph/talia-2-storey-single-attached-regular-for-sale-in-idesia-dasmarinas-phase-1.html
2 Bedrooms House and Lot at Camella Calamba (Bella Model),"Palo-Alto, Calamba","4,426,000",2,53,88,https://www.lamudi.com.ph/2-bedrooms-house-and-lot-at-camella-calamba-bella-model.html
Elegant 3 Bedroom Townhouse in Kamias,"East Kamias, Quezon City","27,500,000",3,268,100,https://www.lamudi.com.ph/elegant-3-bedroom-townhouse-in-kamias.html
San Juan City 6BR Spacious Modern Minimalist House and Lot for Sale,"Greenhills, San Juan","72,000,000",6,637,534,https://www.lamudi.com.ph/san-juan-city-6br-spacious-modern-minimalist-house-and-lot-for-sale.html
Beach House Overlooking for Sale in Sumilon Island,"Bangcogon, Oslob","32,000,000",3,250,2779,https://www.lamudi.com.ph/beach-house-overlooking-for-sale-in-sumilon-island.html
"4 bedroom House and Lot for Sale in San Francisco Heights, Calamba-Savannah","Palo-Alto, Calamba","5,770,000",4,80,110,https://www.lamudi.com.ph/4-bedroom-house-and-lot-for-sale-in-san-francisco-heights-calamba-savannah.html
"Amber 2BR Townhouse End Unit - Modern Minimalist for Sale in Futura Homes Zamboanga, ...","Boalan, Zamboanga","1,813,281",2,50,83,https://www.lamudi.com.ph/amber-2br-townhouse-end-unit-modern-minimalist-for-sale-in-futura-homes-zamboanga-boalan-zamboanga-city.html
"Tulip MR 3BR House and Lot for Sale in Montebello, Ciudad de Calamba, Laguna","Bubuyan, Calamba","4,342,669",3,84,120,https://www.lamudi.com.ph/tulip-mr-3br-house-and-lot-for-sale-in-montebello-ciudad-de-calamba-laguna.html
"4-Bedroom House and Lot (Angelina Unit) for Sale in Salas Real, Iloilo City","Jaro, Iloilo","4,230,000",4,79,116,https://www.lamudi.com.ph/4-bedroom-house-and-lot-angelina-unit-for-sale-in-salas-real-iloilo-city.html
"Duplex House and Lot Back to Back for Sale in Ajoya Capas, Tarlac - with Special Offe...","Talaga, Capas","2,900,000",no info,75,90,https://www.lamudi.com.ph/duplex-house-and-lot-back-to-back-for-sale-in-ajoya-capas-tarlac-with-special-offer.html
"4-Bedroom House and Lot for Sale in Costa Verde, Roxas City, Capiz","Cagay, Roxas","6,357,500",4,112,249,https://www.lamudi.com.ph/4-bedroom-house-and-lot-for-sale-in-costa-verde-roxas-city-capiz.html
"3-Bedroom House and Lot for Sale at Lancaster New City in Kawit, Cavite -AIRA Model","San Sebastian, Kawit","5,282,600",3,80,92,https://www.lamudi.com.ph/3-bedroom-house-and-lot-for-sale-at-lancaster-new-city-in-kawit-cavite-aira-model.html
"3-Bedroom Townhouse for Sale at Lancaster New City in Imus, Cavite -ANICA Model","Alapan II-A, Imus","2,389,000",3,50,50,https://www.lamudi.com.ph/3-bedroom-townhouse-for-sale-at-lancaster-new-city-in-imus-cavite-anica-model.html
Newly Renovated 4 Bedroom Brand new house and lot for sale in BF Homes Paranaque,"B.F. Homes, Paranaque","24,500,000",4,315,285,https://www.lamudi.com.ph/newly-renovated-4-bedroom-brand-new-house-and-lot-for-sale-in-bf-homes-paranaque-13.html
"House and Lot for sale in Mandaluyong City, Rush Sale – Fully Furnished","New Zaniga, Mandaluyong","25,000,000",3,262,91,https://www.lamudi.com.ph/house-and-lot-for-sale-in-mandaluyong-city-rush-sale-fully-furnished.html
"3-Bedroom House and Lot for Sale at Lancaster New City in Kawit, Cavite -CHESSA Model","San Sebastian, Kawit","5,978,000",3,90,100,https://www.lamudi.com.ph/3-bedroom-house-and-lot-for-sale-at-lancaster-new-city-in-kawit-cavite-chessa-model.html
4 Bedrooms House and Lot at Camella Calamba (Dani Model),"Palo-Alto, Calamba","5,697,000",4,83,99,https://www.lamudi.com.ph/4-bedrooms-house-and-lot-at-camella-calamba-dani-model.html
"3 Storey Townhouse For Sale in Tandang Sora near Katipunan, Quezon City","Tandang Sora, Quezon City","11,500,000",5,185,78,https://www.lamudi.com.ph/3-storey-townhouse-for-sale-in-tandang-sora-near-katipunan-quezon-city-14.html
"Taipan Shop House for Sale in Asenso Village, Ciudad de Calamba, Laguna","Bubuyan, Calamba","7,443,999",2,121,252,https://www.lamudi.com.ph/taipan-shop-house-for-sale-in-asenso-village-ciudad-de-calamba-laguna.html
"Callista 4 Bedroom House for Sale at Sabella Village, General Trias","Panungyanan, General Trias","3,995,875",4,81,100,https://www.lamudi.com.ph/callista-4-bedroom-house-for-sale-at-sabella-village-general-trias.html
Alabang Hills with Swimming Pool House for Sale,"Alabang, Muntinlupa","36,000,000",3,270,350,https://www.lamudi.com.ph/alabang-hills-with-swimming-pool-house-for-sale.html
"Salas Real - House and Lot for Sale, 4 Bedrooms, Jaro, Iloilo, Angelina","Jaro, Iloilo","4,230,000",4,79,116,https://www.lamudi.com.ph/salas-real-house-and-lot-for-sale-4-bedrooms-jaro-iloilo-angelina-650213-21.html
Mahogany Place -- Fully Furnished 3BR House with 2 Parking in Taguig For sale,"Bambang, Taguig","32,000,000",3,300,127,https://www.lamudi.com.ph/mahogany-place-fully-furnished-3br-house-with-2-parking-in-taguig-for-sale.html
1-Storey Single Attached House and Lot (ANANDA) for Sale in Amoa Compostela Cebu - wi...,"Tamiao, Compostela","4,100,000",2,46,120,https://www.lamudi.com.ph/1-storey-single-attached-house-and-lot-ananda-for-sale-in-amoa-compostela-cebu-with-special-offer.html
"1-Storey Single Detached House and Lot (ARUNA) for Sale in Amoa, Compostela Cebu - wi...","Tamiao, Compostela","4,100,000",2,45,120,https://www.lamudi.com.ph/1-storey-single-detached-house-and-lot-aruna-for-sale-in-amoa-compostela-cebu-with-special-offer.html
"3-Bedroom House and Lot for Sale in The Arcadia | Boundary of Angeles and Porac, Pamp...","Manibaug Paralaya, Porac","2,643,963",3,62,50,https://www.lamudi.com.ph/3-bedroom-house-and-lot-for-sale-in-the-arcadia-boundary-of-angeles-and-porac-pampanga-andorra-inner-unit-complete.html
"3-Bedroom House and Lot for Sale at Lancaster New City in General Trias, Cavite -CHES...","Pasong Camachile I, General Trias","5,978,000",3,90,100,https://www.lamudi.com.ph/3-bedroom-house-and-lot-for-sale-at-lancaster-new-city-in-general-trias-cavite-chessa-model.html
"YURI 2BR 2-Storey Single Detached for Sale in Idesia Heights, Dasmarinas Cavite","San Agustin I, Dasmarinas","5,000,000",2,63,96,https://www.lamudi.com.ph/yuri-2br-2-storey-single-detached-for-sale-in-idesia-heights-dasmarinas-cavite.html
"ARIA RFO Townhouse for Sale in Idesia Dasmarinas Ph1, Special Discount 269K -Blk10 Lo...","San Agustin I, Dasmarinas","2,239,999",2,42,60,https://www.lamudi.com.ph/aria-rfo-townhouse-for-sale-in-idesia-dasmarinas-ph1-special-discount-269k-blk10-lot7.html
Brand New Duplex House for Sale in Muntinlupa City,"Poblacion, Muntinlupa","7,300,000",4,180,64,https://www.lamudi.com.ph/brand-new-duplex-house-for-sale-in-muntinlupa-city.html
"4-Bedroom House and Lot for Sale at Lancaster New City in General Trias, Cavite -ALEX...","Pasong Camachile I, General Trias","7,410,000",4,100,120,https://www.lamudi.com.ph/4-bedroom-house-and-lot-for-sale-at-lancaster-new-city-in-general-trias-cavite-alexandra-model.html
3 Bedrooms House and Lot at Camella Sierra Metro East (Hannah Model),"Dulumbayan, Teresa","6,061,000",3,60,88,https://www.lamudi.com.ph/3-bedrooms-house-and-lot-at-camella-sierra-metro-east-hannah-model.html
"3 Bedrooms Single Attached for Sale in MetroCity, Taytay, Rizal","Dolores, Taytay","5,700,000",3,90,124,https://www.lamudi.com.ph/3-bedrooms-single-attached-for-sale-in-metrocity-taytay-rizal.html
4-Bedroom Single Detached House and Lot for Sale in The Arcadia | Boundary of Angeles...,"Manibaug Paralaya, Porac","6,628,665",4,121,143,https://www.lamudi.com.ph/4-bedroom-single-detached-house-and-lot-for-sale-in-the-arcadia-boundary-of-angeles-and-porac-pampanga-alexandria-model.html
3 BR 2CG Townhouse for sale in Tandang Sora near Mindanao Avenue Quezon City,"Tandang Sora, Quezon City","7,400,000",3,117,60,https://www.lamudi.com.ph/3-br-2cg-townhouse-for-sale-in-tandang-sora-near-mindanao-avenue-quezon-city.html
"3BR House for Sale in Ameria, Panabo, Davao del Norte - Bougainvillea Model","New Pandan, Panabo","10,953,047",3,129,388,https://www.lamudi.com.ph/3br-house-for-sale-in-ameria-panabo-davao-del-norte-bougainvillea-model.html
"For Sale: 3 Bedroom House & Lot at Ponticelli Hills in Molino IV, Bacoor","Molino IV, Bacoor","7,500,000",3,87,110,https://www.lamudi.com.ph/for-sale-3-bedroom-house-lot-at-ponticelli-hills-in-molino-iv-bacoor.html
"2-Storey Townhouse (AMITA - End) for Sale in Amoa, Compostela, Cebu - with Special Of...","Tamiao, Compostela","3,000,000",2,53,70,https://www.lamudi.com.ph/2-storey-townhouse-amita-end-for-sale-in-amoa-compostela-cebu-with-special-offer.html
Modern 5 Bedroom Brand New House and Lot for Sale in BF Homes Paranaque,"B.F. Homes, Paranaque","35,000,000",5,485,350,https://www.lamudi.com.ph/modern-5-bedroom-brand-new-house-and-lot-for-sale-in-bf-homes-paranaque-10.html
"ARIA RFO Townhouse for Sale in Idesia Dasmarinas Ph1, Special Discount 269K -Blk10 Lo...","San Agustin I, Dasmarinas","2,239,999",2,42,60,https://www.lamudi.com.ph/aria-rfo-townhouse-for-sale-in-idesia-dasmarinas-ph1-special-discount-269k-blk10-lot61.html
3 Bedrooms House and Lot at Camella Calamba (Cara Model),"Palo-Alto, Calamba","5,170,000",3,66,99,https://www.lamudi.com.ph/3-bedrooms-house-and-lot-at-camella-calamba-cara-model.html
"Vista Verde Expansive 4BR House For Sale with Pool in Cainta, Rizal Nr. Eastwood","San Isidro, Cainta","29,000,000",4,720,840,https://www.lamudi.com.ph/vista-verde-expansive-4br-house-for-sale-with-pool-in-cainta-rizal-nr-eastwood.html
"2-Storey Townhouse Inner Crescent End Unit for Sale in Pristina North Residences, Tal...","Talamban, Cebu","15,900,000",4,120,150,https://www.lamudi.com.ph/2-storey-townhouse-inner-crescent-end-unit-for-sale-in-pristina-north-residences-talamban-cebu-with-special-offer.html
"Shophouse for Sale in Ajoya Capas, Tarlac - with Special Offer","Talaga, Capas","7,900,000",no info,99,60,https://www.lamudi.com.ph/shophouse-for-sale-in-ajoya-capas-tarlac-with-special-offer.html
"CYPRESS PRIME House and Lot for Sale in Princeton Heights, Bacoor, Cavite","Mambog IV, Bacoor","7,109,900",3,89,142,https://www.lamudi.com.ph/cypress-prime-house-and-lot-for-sale-in-princeton-heights-bacoor-cavite.html
"ARIA Townhouse (Cor-End) for Sale in Idesia Lipa, Batangas","Inosloban, Lipa","4,700,000",2,42,114,https://www.lamudi.com.ph/aria-townhouse-cor-end-for-sale-in-idesia-lipa-batangas.html
GAIA 2-Storey Single Detached (Regular) for Sale in Idesia Dasmarinas Phase 2,"San Agustin I, Dasmarinas","4,800,000",3,63,100,https://www.lamudi.com.ph/gaia-2-storey-single-detached-regular-for-sale-in-idesia-dasmarinas-phase-2.html
2 Bedrooms House and Lot at Camella Calamba (Aliyah Model),"Palo-Alto, Calamba","3,929,000",2,46,88,https://www.lamudi.com.ph/2-bedrooms-house-and-lot-at-camella-calamba-aliyah-model.html
"Molave 2BR House and Lot for Sale in Punta Altezza, Ciudad de Calamba, Laguna","Punta, Calamba","2,231,191",2,50,227,https://www.lamudi.com.ph/molave-2br-house-and-lot-for-sale-in-punta-altezza-ciudad-de-calamba-laguna.html
Single Detached for Sale worth 40M in Casa Milan Fairview - Rey Samaniego,"Novaliches, Quezon City","40,000,000",4,400,300,https://www.lamudi.com.ph/single-detached-for-sale-worth-40m-in-casa-milan-fairview-rey-samaniego.html
"Niran Two Storey SD for Sale in Sentosa, Calamba Laguna","Punta, Calamba","6,396,780",4,115,176,https://www.lamudi.com.ph/niran-two-storey-sd-for-sale-in-sentosa-calamba-laguna.html
RFO 4-Bedroom Single Detached House and Lot for Sale in The Arcadia | Boundary of Ang...,"Manibaug Paralaya, Porac","8,300,000",4,171,213,https://www.lamudi.com.ph/rfo-4-bedroom-single-detached-house-and-lot-for-sale-in-the-arcadia-boundary-of-angeles-and-porac-pampanga-athens-model.html
"3-Bedroom House and Lot for Sale at Lancaster New City in General Trias, Cavite -MARG...","Pasong Camachile I, General Trias","5,690,000",3,72,100,https://www.lamudi.com.ph/3-bedroom-house-and-lot-for-sale-at-lancaster-new-city-in-general-trias-cavite-margaret-model.html
House & Lot for Sale in Salinas Drive Extension with BIG Discount!,"Lahug, Cebu","45,000,000",7,500,951,https://www.lamudi.com.ph/house-lot-for-sale-in-salinas-drive-extension-with-big-discount.html
House and Lot in Brentville International Community,"Mampalasan, Binan","25,294,300",3,178,239,https://www.lamudi.com.ph/house-and-lot-in-brentville-international-community.html
Flood-Free House in Kingsville Court Sumulong Highway Antipolo,"Mambugan, Antipolo","13,500,000",3,220,150,https://www.lamudi.com.ph/flood-free-house-in-kingsville-court-sumulong-highway-antipolo.html
"Affordable 2 Bedrooms Townhouse for Sale in MetroCity, Taytay Rizal","Dolores, Taytay","3,000,000",2,52,50,https://www.lamudi.com.ph/affordable-2-bedrooms-townhouse-for-sale-in-metrocity-taytay-rizal.html
RFO 4-Bedroom Single Detached House for Sale in The Arcadia | Boundary of Angeles and...,"Manibaug Paralaya, Porac","7,600,000",4,144,213,https://www.lamudi.com.ph/rfo-4-bedroom-single-detached-house-for-sale-in-the-arcadia-boundary-of-angeles-and-porac-pampanga-adelaide-model.html
"ARIA Townhouse (End) for Sale in Idesia Lipa, Batangas","Inosloban, Lipa","3,600,000",2,42,90,https://www.lamudi.com.ph/aria-townhouse-end-for-sale-in-idesia-lipa-batangas.html
"GAIA 2-Storey Single Detached (Regular) for Sale in Idesia Lipa, Batangas","Inosloban, Lipa","5,600,000",3,63,100,https://www.lamudi.com.ph/gaia-2-storey-single-detached-regular-for-sale-in-idesia-lipa-batangas.html
